Transaction ID	Date	Product SKU	Product_Name	Category	Sub_Category	Brand	MSRP	Store ID	Store_Name	Store_City	Store_Region	Customer_ID	Customer Name	Unit_Price	Quantity_Sold	Discount_Amount	Tax_Amount	Total_Sales_Amount	Payment_Method
T-30013	2025-06-15	SKU-517	Bose iPhone	Mobile	iPhone	Bose	1555.09	ST-101	Downtown Tech	Boston	North	C-1013	Linda Williams	1563.7	5	781.85	547.3	7583.95	PayPal
T-30014	2025-06-15	SKU-509	Sony Headphones	Audio	Headphones	Sony	858.09	ST-102	Lakeside Electronics	Chicago	Midwest	C-1014	Linda Davis	814.83	1	81.48	57.04	790.39	Credit Card
T-30015	2025-06-15	SKU-518	Sony Headphones	Audio	Headphones	Sony	518.41	ST-101	Downtown Tech	Boston	North	C-1015	James Brown	560.44	3	168.13	117.69	1630.88	PayPal
T-30016	2025-06-15	SKU-506	Dell Buds	Audio	Buds	Dell	1124.54	ST-102	Lakeside Electronics	Chicago	Midwest	C-1016	Patricia Davis	1054.91	1	105.49	73.84	1023.26	Apple Pay
T-30017	2025-06-15	SKU-514	Dell Galaxy	Mobile	Galaxy	Dell	1741.29	ST-101	Downtown Tech	Boston	North	C-1017	Mary Smith	1820.77	1	182.08	127.45	1766.14	PayPal
T-30018	2025-06-15	SKU-504	Samsung Buds	Audio	Buds	Samsung	901.58	ST-102	Lakeside Electronics	Chicago	Midwest	C-1018	Linda Brown	891.33	5	445.67	311.97	4322.95	Credit Card
T-30019	2025-06-15	SKU-502	Bose Headphones	Audio	Headphones	Bose	1860.1	ST-101	Downtown Tech	Boston	North	C-1019	Robert Miller	1853.16	4	741.26	518.88	7190.26	PayPal
T-30020	2025-06-15	SKU-508	HP Air	Laptops	Air	HP	1860.38	ST-102	Lakeside Electronics	Chicago	Midwest	C-1020	John Miller	1731.94	3	519.58	363.71	5039.95	Credit Card
T-30021	2025-06-15	SKU-510	Sony Headphones	Audio	Headphones	Sony	208.61	ST-102	Lakeside Electronics	Chicago	Midwest	C-1021	David Williams	227.83	1	22.78	15.95	221.0	Credit Card
T-30022	2025-06-15	SKU-507	Sony XPS	Laptops	XPS	Sony	867.17	ST-101	Downtown Tech	Boston	North	C-1022	Elizabeth Smith	853.16	5	426.58	298.61	4137.83	Debit Card
T-30023	2025-06-15	SKU-510	Dell XPS	Laptops	XPS	Dell	553.5	ST-102	Lakeside Electronics	Chicago	Midwest	C-1023	Robert Jones	533.15	1	53.31	37.32	517.16	Apple Pay
T-30024	2025-06-15	SKU-502	Sony Headphones	Audio	Headphones	Sony	1121.51	ST-102	Lakeside Electronics	Chicago	Midwest	C-1024	Robert Garcia	1206.58	3	361.97	253.38	3511.15	PayPal
T-30025	2025-06-15	SKU-519	HP Buds	Audio	Buds	HP	1969.32	ST-101	Downtown Tech	Boston	North	C-1025	David Jones	2142.2	2	428.44	299.91	4155.87	Credit Card
T-30026	2025-06-15	SKU-508	Apple Headphones	Audio	Headphones	Apple	635.34	ST-101	Downtown Tech	Boston	North	C-1026	Jennifer Brown	636.03	3	190.81	133.57	1850.85	Credit Card
T-30027	2025-06-15	SKU-501	Bose Galaxy	Mobile	Galaxy	Bose	106.74	ST-101	Downtown Tech	Boston	North	C-1027	John Williams	107.84	4	43.14	30.2	418.42	Credit Card
T-30028	2025-06-15	SKU-504	Apple XPS	Laptops	XPS	Apple	1136.62	ST-102	Lakeside Electronics	Chicago	Midwest	C-1028	Elizabeth Williams	1051.93	3	315.58	220.91	3061.12	Credit Card
T-30029	2025-06-15	SKU-507	Dell XPS	Laptops	XPS	Dell	1367.17	ST-102	Lakeside Electronics	Chicago	Midwest	C-1029	David Miller	1483.59	2	296.72	207.7	2878.16	PayPal
T-30030	2025-06-15	SKU-510	HP Pro	Laptops	Pro	HP	1586.53	ST-102	Lakeside Electronics	Chicago	Midwest	C-1030	Patricia Jones	1677.72	1	167.77	117.44	1627.39	Credit Card
T-30031	2025-06-15	SKU-514	HP Pro	Laptops	Pro	HP	764.35	ST-101	Downtown Tech	Boston	North	C-1031	Patricia Smith	748.83	3	224.65	157.25	2179.09	Debit Card
T-30032	2025-06-15	SKU-517	Dell Buds	Audio	Buds	Dell	729.18	ST-101	Downtown Tech	Boston	North	C-1032	Mary Jones	740.93	3	222.28	155.6	2156.11	Credit Card
T-30033	2025-06-15	SKU-510	Sony Galaxy	Mobile	Galaxy	Sony	929.15	ST-101	Downtown Tech	Boston	North	C-1033	Michael Brown	844.48	4	337.79	236.45	3276.58	PayPal
T-30034	2025-06-15	SKU-510	Dell iPhone	Mobile	iPhone	Dell	1284.0	ST-101	Downtown Tech	Boston	North	C-1034	John Jones	1239.36	3	371.81	260.27	3606.54	PayPal
T-30035	2025-06-15	SKU-505	Samsung Galaxy	Mobile	Galaxy	Samsung	1269.48	ST-102	Lakeside Electronics	Chicago	Midwest	C-1035	Michael Smith	1215.38	4	486.15	340.31	4715.68	Debit Card
T-30036	2025-06-15	SKU-506	HP Galaxy	Mobile	Galaxy	HP	1071.23	ST-101	Downtown Tech	Boston	North	C-1036	Mary Jones	984.11	2	196.82	137.78	1909.18	Debit Card
T-30037	2025-06-15	SKU-500	Samsung Pro	Laptops	Pro	Samsung	187.81	ST-102	Lakeside Electronics	Chicago	Midwest	C-1037	Elizabeth Johnson	184.6	5	92.3	64.61	895.31	Apple Pay
T-30038	2025-06-15	SKU-504	HP iPhone	Mobile	iPhone	HP	1346.51	ST-101	Downtown Tech	Boston	North	C-1038	Mary Miller	1259.23	5	629.62	440.73	6107.26	Credit Card
T-30039	2025-06-15	SKU-514	Sony Pro	Laptops	Pro	Sony	353.34	ST-102	Lakeside Electronics	Chicago	Midwest	C-1039	David Garcia	361.3	5	180.65	126.46	1752.31	Apple Pay
T-30040	2025-06-15	SKU-514	Samsung Buds	Audio	Buds	Samsung	592.46	ST-101	Downtown Tech	Boston	North	C-1040	John Davis	565.75	1	56.58	39.6	548.77	Debit Card
T-30041	2025-06-15	SKU-510	Samsung Galaxy	Mobile	Galaxy	Samsung	1796.75	ST-101	Downtown Tech	Boston	North	C-1041	Robert Williams	1754.72	2	350.94	245.66	3404.16	PayPal
T-30042	2025-06-15	SKU-510	Apple Galaxy	Mobile	Galaxy	Apple	1130.96	ST-102	Lakeside Electronics	Chicago	Midwest	C-1042	James Brown	1105.96	5	552.98	387.09	5363.91	Credit Card
T-30043	2025-06-15	SKU-500	Sony Galaxy	Mobile	Galaxy	Sony	1891.21	ST-102	Lakeside Electronics	Chicago	Midwest	C-1043	Michael Miller	1886.76	3	566.03	396.22	5490.47	Apple Pay
T-30044	2025-06-15	SKU-512	Apple Galaxy	Mobile	Galaxy	Apple	1475.94	ST-102	Lakeside Electronics	Chicago	Midwest	C-1044	Robert Smith	1503.07	1	150.31	105.21	1457.97	Apple Pay
T-30045	2025-06-15	SKU-501	Samsung iPhone	Mobile	iPhone	Samsung	594.3	ST-102	Lakeside Electronics	Chicago	Midwest	C-1045	Patricia Davis	574.99	4	230.0	161.0	2230.96	Apple Pay
T-30046	2025-06-15	SKU-500	Dell Air	Laptops	Air	Dell	1523.15	ST-101	Downtown Tech	Boston	North	C-1046	Jennifer Brown	1608.82	1	160.88	112.62	1560.56	PayPal
T-30047	2025-06-15	SKU-504	Samsung XPS	Laptops	XPS	Samsung	553.24	ST-102	Lakeside Electronics	Chicago	Midwest	C-1047	Mary Brown	575.31	3	172.59	120.82	1674.16	Credit Card
T-30048	2025-06-15	SKU-518	Samsung iPhone	Mobile	iPhone	Samsung	148.79	ST-102	Lakeside Electronics	Chicago	Midwest	C-1048	Elizabeth Miller	161.93	2	32.39	22.67	314.14	PayPal
T-30049	2025-06-15	SKU-519	Apple Buds	Audio	Buds	Apple	1630.5	ST-101	Downtown Tech	Boston	North	C-1049	Jennifer Miller	1489.94	3	446.98	312.89	4335.73	Apple Pay
T-30050	2025-06-15	SKU-511	HP Air	Laptops	Air	HP	1307.61	ST-102	Lakeside Electronics	Chicago	Midwest	C-1050	Robert Miller	1368.75	3	410.62	287.44	3983.07	Apple Pay
T-30051	2025-06-15	SKU-510	HP Galaxy	Mobile	Galaxy	HP	1718.26	ST-101	Downtown Tech	Boston	North	C-1051	John Davis	1804.34	5	902.17	631.52	8751.05	Apple Pay
T-30052	2025-06-15	SKU-510	Dell Air	Laptops	Air	Dell	445.5	ST-101	Downtown Tech	Boston	North	C-1052	Jennifer Jones	425.87	5	212.94	149.05	2065.46	Debit Card
T-30053	2025-06-15	SKU-506	Sony XPS	Laptops	XPS	Sony	262.66	ST-102	Lakeside Electronics	Chicago	Midwest	C-1053	Linda Brown	270.32	4	108.13	75.69	1048.84	Credit Card
T-30054	2025-06-15	SKU-512	Apple iPhone	Mobile	iPhone	Apple	1414.4	ST-102	Lakeside Electronics	Chicago	Midwest	C-1054	Elizabeth Garcia	1429.53	3	428.86	300.2	4159.93	Debit Card
T-30055	2025-06-15	SKU-508	Dell Buds	Audio	Buds	Dell	682.58	ST-101	Downtown Tech	Boston	North	C-1055	Mary Brown	630.64	5	315.32	220.72	3058.6	PayPal
T-30056	2025-06-15	SKU-515	Samsung XPS	Laptops	XPS	Samsung	625.35	ST-102	Lakeside Electronics	Chicago	Midwest	C-1056	Mary Brown	591.27	2	118.25	82.78	1147.07	Credit Card
T-30057	2025-06-15	SKU-508	Bose Headphones	Audio	Headphones	Bose	186.48	ST-101	Downtown Tech	Boston	North	C-1057	David Jones	191.62	4	76.65	53.65	743.48	Credit Card
T-30058	2025-06-15	SKU-515	Sony Galaxy	Mobile	Galaxy	Sony	936.89	ST-101	Downtown Tech	Boston	North	C-1058	James Jones	864.58	1	86.46	60.52	838.64	Apple Pay
T-30059	2025-06-15	SKU-504	Apple Headphones	Audio	Headphones	Apple	383.48	ST-102	Lakeside Electronics	Chicago	Midwest	C-1059	Mary Brown	387.93	4	155.17	108.62	1505.17	PayPal
T-30060	2025-06-15	SKU-514	Sony Galaxy	Mobile	Galaxy	Sony	664.97	ST-102	Lakeside Electronics	Chicago	Midwest	C-1060	John Smith	724.5	2	144.9	101.43	1405.53	PayPal
T-30061	2025-06-15	SKU-505	Dell Headphones	Audio	Headphones	Dell	555.74	ST-101	Downtown Tech	Boston	North	C-1061	Robert Smith	550.24	5	275.12	192.58	2668.66	Debit Card
T-30062	2025-06-15	SKU-509	Apple Air	Laptops	Air	Apple	1435.68	ST-102	Lakeside Electronics	Chicago	Midwest	C-1062	Mary Brown	1518.33	5	759.16	531.42	7363.91	PayPal
T-30063	2025-06-15	SKU-507	HP XPS	Laptops	XPS	HP	1330.51	ST-102	Lakeside Electronics	Chicago	Midwest	C-1063	Robert Johnson	1241.61	3	372.48	260.74	3613.09	Debit Card
T-30064	2025-06-15	SKU-509	HP Air	Laptops	Air	HP	1429.49	ST-102	Lakeside Electronics	Chicago	Midwest	C-1064	David Davis	1309.54	1	130.95	91.67	1270.26	Debit Card
T-30065	2025-06-15	SKU-502	Sony iPhone	Mobile	iPhone	Sony	534.96	ST-101	Downtown Tech	Boston	North	C-1065	John Smith	531.8	4	212.72	148.9	2063.38	PayPal
T-30066	2025-06-15	SKU-502	Sony Galaxy	Mobile	Galaxy	Sony	993.02	ST-102	Lakeside Electronics	Chicago	Midwest	C-1066	Jennifer Garcia	1064.07	3	319.22	223.45	3096.44	Apple Pay
T-30067	2025-06-15	SKU-517	Dell Buds	Audio	Buds	Dell	169.72	ST-101	Downtown Tech	Boston	North	C-1067	Jennifer Jones	156.68	4	62.67	43.87	607.92	Credit Card
T-30068	2025-06-15	SKU-513	Bose Buds	Audio	Buds	Bose	202.99	ST-102	Lakeside Electronics	Chicago	Midwest	C-1068	Elizabeth Davis	213.55	2	42.71	29.9	414.29	PayPal
T-30069	2025-06-15	SKU-503	Dell Galaxy	Mobile	Galaxy	Dell	154.85	ST-101	Downtown Tech	Boston	North	C-1069	Robert Jones	156.47	1	15.65	10.95	151.77	Credit Card
T-30070	2025-06-15	SKU-504	HP XPS	Laptops	XPS	HP	1046.91	ST-102	Lakeside Electronics	Chicago	Midwest	C-1070	David Jones	-99.99	4	-40.0	-28.0	-387.96	Apple Pay
T-30071	2025-06-15	SKU-506	Sony Air	Laptops	Air	Sony	1851.55	ST-101	Downtown Tech	Boston	North	C-1071	Mary Jones	1792.25	5	896.12	627.29	8692.42	Credit Card
T-30072	2025-06-15	SKU-518	Dell Buds	Audio	Buds	Dell	1201.85	ST-102	Lakeside Electronics	Chicago	Midwest	C-1072	Robert Davis	1164.62	5	582.31	407.62	5648.41	Apple Pay
T-30073	2025-06-15	SKU-507	HP iPhone	Mobile	iPhone	HP	1186.42	ST-101	Downtown Tech	Boston	North	C-1073	Michael Smith	1244.48	4	497.79	348.45	4828.58	PayPal
T-30074	2025-06-15	SKU-516	HP Pro	Laptops	Pro	HP	1934.17	ST-102	Lakeside Electronics	Chicago	Midwest	C-1074	Mary Davis	1944.21	4	777.68	544.38	7543.54	PayPal
T-30075	2025-06-15	SKU-502	HP Headphones	Audio	Headphones	HP	992.03	ST-102	Lakeside Electronics	Chicago	Midwest	C-1075	Jennifer Miller	1061.82	5	530.91	371.64	5149.83	Debit Card
T-30076	2025-06-15	SKU-517	Bose Buds	Audio	Buds	Bose	168.21	ST-101	Downtown Tech	Boston	North	C-1076	Patricia Jones	176.51	4	70.6	49.42	684.86	Credit Card
T-30077	2025-06-15	SKU-509	HP XPS	Laptops	XPS	HP	1816.51	ST-101	Downtown Tech	Boston	North	C-1077	Jennifer Smith	1765.09	4	706.04	494.23	6848.55	PayPal
T-30078	2025-06-15	SKU-505	Sony iPhone	Mobile	iPhone	Sony	432.63	ST-102	Lakeside Electronics	Chicago	Midwest	C-1078	Elizabeth Brown	468.35	2	93.67	65.57	908.6	Apple Pay
T-30079	2025-06-15	SKU-508	Bose Galaxy	Mobile	Galaxy	Bose	1367.0	ST-102	Lakeside Electronics	Chicago	Midwest	C-1079	John Williams	1351.07	3	405.32	283.72	3931.61	Debit Card
T-30080	2025-13-45	SKU-514	Bose Galaxy	Mobile	Galaxy	Bose	1706.08	ST-101	Downtown Tech	Boston	North	C-1080	Michael Davis	1616.41	5	808.21	565.74	7839.58	Debit Card
T-30081	2025-06-15	SKU-512	Bose iPhone	Mobile	iPhone	Bose	621.51	ST-101	Downtown Tech	Boston	North	C-1081	Elizabeth Davis	655.79	2	131.16	91.81	1272.23	Debit Card
T-30082	2025-06-15	SKU-519	Samsung Headphones	Audio	Headphones	Samsung	576.19	ST-101	Downtown Tech	Boston	North	C-1082	Mary Smith	609.45	1	60.95	42.66	591.16	Debit Card
T-30083	2025-06-15	SKU-509	Bose Pro	Laptops	Pro	Bose	720.77	ST-102	Lakeside Electronics	Chicago	Midwest	C-1083	Robert Brown	762.07	3	228.62	160.03	2217.62	Debit Card
T-30084	2025-06-15	SKU-509	Samsung Galaxy	Mobile	Galaxy	Samsung	1518.46	ST-102	Lakeside Electronics	Chicago	Midwest	C-1084	Mary Davis	1409.36	2	281.87	197.31	2734.16	Apple Pay
T-30085	2025-06-15	SKU-512	Sony iPhone	Mobile	iPhone	Sony	126.45	ST-101	Downtown Tech	Boston	North	C-1085	Linda Garcia	128.59	3	38.58	27.0	374.19	PayPal
T-30086	2025-06-15	SKU-517	HP XPS	Laptops	XPS	HP	723.21	ST-101	Downtown Tech	Boston	North	C-1086	Mary Davis	744.8	1	74.48	52.14	722.46	Credit Card
T-30087	2025-06-15	SKU-503	Apple Galaxy	Mobile	Galaxy	Apple	284.66	ST-101	Downtown Tech	Boston	North	C-1087	Michael Davis	294.37	5	147.19	103.03	1427.69	PayPal
T-30088	2025-06-15	SKU-515	HP Headphones	Audio	Headphones	HP	1269.74	ST-102	Lakeside Electronics	Chicago	Midwest	C-1088	James Garcia	1255.36	2	251.07	175.75	2435.4	Credit Card
T-30089	2025-06-15	SKU-501	Bose Galaxy	Mobile	Galaxy	Bose	856.47	ST-101	Downtown Tech	Boston	North	C-1089	Mary Davis	884.35	5	442.18	309.52	4289.09	Credit Card
T-30090	2025-06-15	SKU-518	Dell Pro	Laptops	Pro	Dell	489.89	ST-101	Downtown Tech	Boston	North	C-1090	Elizabeth Brown	473.09	2	94.62	66.23	917.79	Credit Card
T-30091	2025-06-15	SKU-517	Dell Pro	Laptops	Pro	Dell	576.24	ST-101	Downtown Tech	Boston	North	C-1091	Mary Smith	520.33	2	104.07	72.85	1009.44	Debit Card
T-30092	2025-06-15	SKU-501	Apple Air	Laptops	Air	Apple	340.84	ST-102	Lakeside Electronics	Chicago	Midwest	C-1092	David Johnson	339.22	3	101.77	71.24	987.13	Credit Card
T-30093	2025-06-15	SKU-519	HP Headphones	Audio	Headphones	HP	182.39	ST-102	Lakeside Electronics	Chicago	Midwest	C-1093	Linda Smith	200.58	4	80.23	56.16	778.25	Credit Card
T-30094	2025-06-15	SKU-502	HP Buds	Audio	Buds	HP	1808.61	ST-102	Lakeside Electronics	Chicago	Midwest	C-1094	Elizabeth Williams	1673.4	5	836.7	585.69	8115.99	Debit Card
T-30095	2025-06-15	SKU-514	HP Buds	Audio	Buds	HP	1060.55	ST-102	Lakeside Electronics	Chicago	Midwest	C-1095	Mary Johnson	1045.72	2	209.14	146.4	2028.7	Debit Card
T-30096	2025-06-15	SKU-503	HP Galaxy	Mobile	Galaxy	HP	693.84	ST-102	Lakeside Electronics	Chicago	Midwest	C-1096	John Garcia	719.76	4	287.9	201.53	2792.67	Credit Card
T-30097	2025-06-15	SKU-503	Apple Air	Laptops	Air	Apple	1514.72	ST-102	Lakeside Electronics	Chicago	Midwest	C-1097	Robert Smith	1566.22	4	626.49	438.54	6076.93	Apple Pay
T-30098	2025-06-15	SKU-519	Bose Air	Laptops	Air	Bose	693.65	ST-101	Downtown Tech	Boston	North	C-1098	Elizabeth Brown	715.39	2	143.08	100.15	1387.85	Debit Card
T-30099	2025-06-15	SKU-508	Sony iPhone	Mobile	iPhone	Sony	1190.79	ST-102	Lakeside Electronics	Chicago	Midwest	C-1099	David Smith	1078.61	3	323.58	226.51	3138.76	Debit Card
T-30099	2025-06-15	SKU-505	Dell iPhone	Mobile	iPhone	Dell	1752.74	ST-102	Lakeside Electronics	Chicago	Midwest	C-1100	Mary Williams	1609.63	5	804.82	563.37	7806.7	Apple Pay
T-30101	2025-06-15	SKU-505	HP Galaxy	Mobile	Galaxy	HP	803.1	ST-102	Lakeside Electronics	Chicago	Midwest	C-1101	Elizabeth Johnson	747.78	5	373.89	261.72	3626.73	Credit Card
T-30102	2025-06-15	SKU-515	Dell Galaxy	Mobile	Galaxy	Dell	1253.44	ST-102	Lakeside Electronics	Chicago	Midwest	C-1102	John Brown	1214.63	1	121.46	85.02	1178.19	Apple Pay
T-30103	2025-06-15	SKU-501	Sony Buds	Audio	Buds	Sony	518.99	ST-101	Downtown Tech	Boston	North	C-1103	James Brown	565.21	2	113.04	79.13	1096.51	Debit Card
T-30104	2025-06-15	SKU-515	Dell Pro	Laptops	Pro	Dell	1519.33	ST-101	Downtown Tech	Boston	North	C-1104	Robert Miller	1519.41	3	455.82	319.08	4421.49	Apple Pay
T-30105	2025-06-15	SKU-500	Bose Air	Laptops	Air	Bose	973.53	ST-101	Downtown Tech	Boston	North	C-1105	Jennifer Miller	1014.32	4	405.73	284.01	3935.56	Credit Card
T-30106	2025-06-15	SKU-505	HP Air	Laptops	Air	HP	1622.51	ST-102	Lakeside Electronics	Chicago	Midwest	C-1106	Jennifer Johnson	1734.3	2	346.86	242.8	3364.54	Apple Pay
T-30107	2025-06-15	SKU-509	Sony Air	Laptops	Air	Sony	1517.03	ST-101	Downtown Tech	Boston	North	C-1107	Jennifer Williams	1520.21	1	152.02	106.41	1474.6	PayPal
T-30108	2025-06-15	SKU-507	Dell iPhone	Mobile	iPhone	Dell	295.33	ST-102	Lakeside Electronics	Chicago	Midwest	C-1108	Patricia Williams	310.7	1	31.07	21.75	301.38	Apple Pay
T-30109	2025-06-15	SKU-518	HP Buds	Audio	Buds	HP	1321.68	ST-102	Lakeside Electronics	Chicago	Midwest	C-1109	Jennifer Williams	1207.56	4	483.02	338.12	4685.34	Debit Card
T-30110	2025-06-15	SKU-511	Dell Headphones	Audio	Headphones	Dell	1063.94	ST-102	Lakeside Electronics	Chicago	Midwest	C-1110		969.65	3	290.89	203.63	2821.69	Credit Card
T-30111	2025-06-15	SKU-514	Sony Buds	Audio	Buds	Sony	1202.63	ST-101	Downtown Tech	Boston	North	C-1111	Linda Brown	1227.89	5	613.95	429.76	5955.26	Credit Card
T-30112	2025-06-15	SKU-502	HP Air	Laptops	Air	HP	1058.64	ST-101	Downtown Tech	Boston	North	C-1112	James Brown	1162.6	5	581.3	406.91	5638.61	PayPal
T-30113	2025-06-15	SKU-512	Dell Galaxy	Mobile	Galaxy	Dell	876.66	ST-102	Lakeside Electronics	Chicago	Midwest	C-1113	Elizabeth Smith	800.55	1	80.06	56.04	776.53	Apple Pay
T-30114	2025-06-15	SKU-510	Dell iPhone	Mobile	iPhone	Dell	254.85	ST-101	Downtown Tech	Boston	North	C-1114	Jennifer Jones	235.94	1	23.59	16.52	228.87	Apple Pay
T-30115	2025-06-15	SKU-516	Bose iPhone	Mobile	iPhone	Bose	277.56	ST-102	Lakeside Electronics	Chicago	Midwest	C-1115	David Garcia	269.93	2	53.99	37.79	523.66	Debit Card
T-30116	2025-06-15	SKU-504	HP Pro	Laptops	Pro	HP	394.4	ST-102	Lakeside Electronics	Chicago	Midwest	C-1116	Mary Smith	424.09	5	212.04	148.43	2056.84	Apple Pay
T-30117	2025-06-15	SKU-519	Samsung Pro	Laptops	Pro	Samsung	1637.18	ST-101	Downtown Tech	Boston	North	C-1117	Linda Smith	1592.75	2	318.55	222.99	3089.94	Debit Card
T-30118	2025-06-15	SKU-517	Bose iPhone	Mobile	iPhone	Bose	554.42	ST-102	Lakeside Electronics	Chicago	Midwest	C-1118	Patricia Garcia	550.17	3	165.05	115.54	1601.0	Apple Pay
T-30119	2025-06-15	SKU-504	Samsung XPS	Laptops	XPS	Samsung	1758.7	ST-101	Downtown Tech	Boston	North	C-1119	Linda Garcia	1833.06	5	916.53	641.57	8890.34	Debit Card
T-30120	2025-06-15	SKU-514	Apple Air	Laptops	Air	Apple	1820.08	ST-101	Downtown Tech	Boston	North	C-1120	Michael Johnson	1935.37	3	580.61	406.43	5631.93	Apple Pay
T-30121	2025-06-15	SKU-507	Apple Galaxy	Mobile	Galaxy	Apple	833.72	ST-101	Downtown Tech	Boston	North	C-1121	Jennifer Brown	803.49	1	80.35	56.24	779.38	Debit Card
T-30122	2025-06-15	SKU-509	Samsung Pro	Laptops	Pro	Samsung	1843.05	ST-102	Lakeside Electronics	Chicago	Midwest	C-1122	Robert Davis	1885.57	1	188.56	131.99	1829.0	Debit Card
T-30123	2025-06-15	SKU-519	Samsung XPS	Laptops	XPS	Samsung	1102.77	ST-101	Downtown Tech	Boston	North	C-1123	John Brown	1019.37	2	203.87	142.71	1977.58	Apple Pay
T-30124	2025-06-15	SKU-519	Apple Air	Laptops	Air	Apple	1118.5	ST-101	Downtown Tech	Boston	North	C-1124	Robert Jones	1007.0	3	302.1	211.47	2930.37	Apple Pay
T-30125	2025-06-15	SKU-516	Samsung Headphones	Audio	Headphones	Samsung	1951.84	ST-101	Downtown Tech	Boston	North	C-1125	David Smith	2097.58	1	209.76	146.83	2034.65	Apple Pay
T-30126	2025-06-15	SKU-511	Dell iPhone	Mobile	iPhone	Dell	1598.19	ST-102	Lakeside Electronics	Chicago	Midwest	C-1126	Patricia Johnson	1481.01	3	444.3	311.01	4309.74	Debit Card
T-30127	2025-06-15	SKU-514	Bose XPS	Laptops	XPS	Bose	1963.56	ST-102	Lakeside Electronics	Chicago	Midwest	C-1127	Robert Williams	2048.4	4	819.36	573.55	7947.79	Debit Card
T-30128	2025-06-15	SKU-501	Samsung Pro	Laptops	Pro	Samsung	699.63	ST-102	Lakeside Electronics	Chicago	Midwest	C-1128	David Miller	665.11	2	133.02	93.12	1290.32	Debit Card
T-30129	2025-06-15	SKU-508	Apple Buds	Audio	Buds	Apple	336.5	ST-102	Lakeside Electronics	Chicago	Midwest	C-1129	Michael Miller	363.06	4	145.22	101.66	1408.68	PayPal
T-30130	2025-06-15	SKU-511	HP Buds	Audio	Buds	HP	1856.19	ST-102	Lakeside Electronics	Chicago	Midwest	C-1130	MARY	1830.43	2	366.09	256.26	3551.03	Debit Card
T-30131	2025-06-15	SKU-510	Dell Pro	Laptops	Pro	Dell	1355.75	ST-102	Lakeside Electronics	Chicago	Midwest	C-1131	Linda Miller	1407.2	3	422.16	295.51	4094.95	Credit Card
T-30132	2025-06-15	SKU-508	Bose Galaxy	Mobile	Galaxy	Bose	1314.99	ST-101	Downtown Tech	Boston	North	C-1132	Mary Miller	1318.43	2	263.69	184.58	2557.75	PayPal
T-30133	2025-06-15	SKU-501	Sony Buds	Audio	Buds	Sony	339.84	ST-101	Downtown Tech	Boston	North	C-1133	Jennifer Garcia	370.39	1	37.04	25.93	359.28	PayPal
